Outlet,Address,Postcode,Sub area,Area,State,Location category,Location description,Other remarks
Higher Ground,"19-19A, Lebuh Leith, George Town, 10200 George Town, Pulau Pinang",10200,Bukit Mertajam,Bukit Mertajam,Penang,Food & Beverage,Outdoor seating,None
Holy Guacamole - Love Lane,"65, Love Lane, Georgetown, 10200 George Town, Penang",10200,Georgetown,Penang Island,Penang,Food & Beverage,Outdoor seating,None
Mews Cafe,"77, Muntri St, Georgetown, 10200 George Town, Penang",10200,Georgetown,Penang Island,Penang,Food & Beverage,Outdoor seating,None
Moh Teng Pheow Nyonya Koay,"Lebuh Chulia, Jalan Masjid, 10200 George Town, Pulau Pinang",10200,Georgetown,Penang Island,Penang,Food & Beverage,Outdoor seating,None
R COFFEE CO.,"168, Chulia St, Georgetown, 10200 George Town, Penang",10200,Georgetown,Penang Island,Penang,Food & Beverage,Outdoor seating,None
The Daily Dose Cafe Penang,"36, Stewart Lane, Georgetown, 10200 George Town, Penang",10200,Georgetown,Penang Island,Penang,Food & Beverage,Outdoor seating,None
The Original Reggae Club,"361, Chulia St, Georgetown, 10200 George Town, Penang",10200,Georgetown,Penang Island,Penang,Food & Beverage,Outdoor seating,None
J-Garden,"368-1-1 Bellisa Row, Jalan Burma, Pulau Tikus, George Town, Penang",10250,Pulau Tikus,Penang Island,Penang,Food & Beverage,Outdoor seating,None
Aplace 26,"39, Lorong Birch, 10250 George Town, Pulau Pinang",10250,Georgetown,Penang Island,Penang,Food & Beverage,Indoor seating,Small breed only; Carrier / Stroller
"Fourspoons Ice-Cream, Gurney Walk","Gurney Walk, 18, Persiaran Gurney, 10250 George Town, Pulau Pinang",10250,Georgetown,Penang Island,Penang,Food & Beverage,Outdoor seating,None
Iskender Turkish & Arabic Kitchen مطبخ إسكندر,"370, Lebuhraya Maktab, Pulau Tikus, 10250 George Town, Pulau Pinang",10250,Georgetown,Penang Island,Penang,Food & Beverage,Outdoor seating,None
Lunarich Malaysia Pizza & Pasta,"Lot 2.33, level 2, Festive Square, Gurney Paragon  10250 George Town, Penang",10250,Georgetown,Penang Island,Penang,Food & Beverage,Outdoor seating,None
888 Hokkien Mee,"67-A, Lebuh Presgrave, 10300 George Town, Pulau Pinang",10300,Georgetown,Penang Island,Penang,Food & Beverage,Outdoor seating,None
CATONOMY,"117-A, ANNEX BUILDING B, Lebuh Victoria, George Town, 10300 George Town, Pulau Pinang",10300,Georgetown,Penang Island,Penang,Food & Beverage,Indoor seating,Cat cafe
China House,"153, Beach St, Georgetown, 10300 George Town, Penang",10300,Georgetown,Penang Island,Penang,Food & Beverage,Indoor seating; Outdoor seating,Large dogs are welcome in the Courtyard and small dogs in Reading Room. Please use the entrance from Victoria Street and always keep dogs on a lead.
Jetty 35 潮人居 · 生活艺术空间,"35, Pengkalan Weld, George Town, 10300 George Town, Pulau Pinang",10300,Georgetown,Penang Island,Penang,Attraction,,None
Khing Cafe Beach Street,"278, Lebuh Pantai, George Town, 10300 George Town, Pulau Pinang",10300,Georgetown,Penang Island,Penang,Food & Beverage,Indoor seating,None
Laksa Houze,"59, Lebuh Melayu, George Town, 10300 George Town, Pulau Pinang",10300,Georgetown,Penang Island,Penang,Food & Beverage,Indoor seating,Carrier / Stroller
Noordin Mews Heritage Hote,"53, Lebuh Noordin, 10300 George Town, Pulau Pinang",10300,Georgetown,Penang Island,Penang,Pet friendly stay,,None
Norm Micro Roastery,"13, Gat Lebuh Gereja, George Town, 10300 George Town, Pulau Pinang",10300,Georgetown,Penang Island,Penang,Food & Beverage,Indoor seating,None
Yeoh Jetty 姓楊橋,"Pintasan Pengkalan 1, George Town, 10300 George Town, Pulau Pinang",10300,Georgetown,Penang Island,Penang,Attraction,,None
YOLK PG,"3, Pengkalan Weld, George Town, 10300 George Town, Pulau Pinang",10300,Georgetown,Penang Island,Penang,Food & Beverage,Indoor seating,Upstairs
海乾大树下海鲜饭店 Weld Quay (Tree Shade) Da Shu Xia Seafood House,"177C, Victoria St, Georgetown, 10300 George Town, Penang",10300,Georgetown,Penang Island,Penang,Food & Beverage,Indoor seating,None
Boston Coffee,"257, Victoria St, Georgetown, 10300 George Town, Penang",10300,Georgetown,Penang Island,Penang,Food & Beverage,Outdoor seating,None
Cecil Street Market Hawker Centre 七条路巴刹小贩中心,"Lebuh Cecil, 10300 George Town, Pulau Pinang",10300,Georgetown,Penang Island,Penang,Food & Beverage,Outdoor seating,None
Chew Jetty Big Bowl Noodles 姓周桥大碗公面,"1, Pengkalan Weld, George Town, 10300 George Town, Pulau Pinang",10300,Georgetown,Penang Island,Penang,Food & Beverage,Outdoor seating,None
Plan C Patisserie ( Your Local Club ),"262 & 264, Lebuh Pantai, George Town, 10300 George Town, Pulau Pinang",10300,Georgetown,Penang Island,Penang,Food & Beverage,Outdoor seating,None
Tan Jetty Thai Food Restaurant,"97, Pengkalan Weld Georgetown, 10300 George Town",10300,Georgetown,Penang Island,Penang,Food & Beverage,Outdoor seating,None
Flour and Oil cafe,"19b, Codrington Ave, Pulau Tikus, 10350 George Town, Penang",10350,Pulau Tikus,Penang Island,Penang,Food & Beverage,Outdoor seating,None
Paradiso Cafe,"26Q, Codrington Ave, Pulau Tikus, 10350 George Town, Penang",10350,Pulau Tikus,Penang Island,Penang,Food & Beverage,Outdoor seating,None
Japanese Garden (Taman Jepun/ஜப்பானிய பூங்கா),"673A, Jalan Kebun Bunga, George Town, 10350 George Town, Pulau Pinang",10350,Georgetown,Penang Island,Penang,Park,,None
Goodall Cafe,"5, Jalan Gottlieb, 10350 George Town, Pulau Pinang",10350,Georgetown,Penang Island,Penang,Food & Beverage,Outdoor seating,None
Tian Yuan,"No. 2652, Jalan Kebun Bunga, 10350 George Town, Pulau Pinang",10350,Georgetown,Penang Island,Penang,Food & Beverage,Outdoor seating,None
Home Recipe,"26, Jalan Logan, George Town, 10400 George Town, Pulau Pinang",10400,Georgetown,Penang Island,Penang,Food & Beverage,Outdoor seating,None
Mum's Nyonya Cuisine,"31-D, Lorong Abu Siti, George Town, 10400 George Town, Pulau Pinang",10400,Georgetown,Penang Island,Penang,Food & Beverage,Indoor seating,None
